WrkRef;CNC;DIS_PsfFile;DIS_CfgFile;PrdRefDst;Extension
RIDDER Waricut / Sinumerik 840D;1913;pstrid01.exe;pstrid01.se1;Pieza_prueba_Maxwell;.CNC
RIDDER Waricut / Sinumerik 840D;1914;pstrid01.exe;pstrid01.se1;Pieza_prueba_Maxwell_2;.CNC
RIDDER Waricut / Sinumerik 840D;1915;pstrid01.exe;pstrid01.se1;DXFPART7;.CNC
RIDDER Waricut / Sinumerik 840D;1916;pstrid01.exe;pstrid01.se1;DXFPAR0105;.CNC
AC-255;1;pstama02.exe;pstama02.se2;Pieza_prueba_Maxwell_2;.NC
AC-255;2;pstama02.exe;pstama02.se2;DXFPART7;.NC
AC-255;3;pstama02.exe;pstama02.se2;DXFPAR0105;.NC
ACL2000/3000 Plasma;4;pstAcl01.exe;pstAcl01.se1;Pieza_prueba_Maxwell;.CNC
ACL2000/3000 Plasma;5;pstAcl01.exe;pstAcl01.se1;Pieza_prueba_Maxwell_2;.CNC
ACL2000/3000 Plasma;6;pstAcl01.exe;pstAcl01.se1;DXFPART7;.CNC
ACL2000/3000 Plasma;7;pstAcl01.exe;pstAcl01.se1;DXFPAR0105;.CNC
Adige LC5 Fiber CP3015 6kW;33;pstadi02.exe;pstadi02.se8;Pieza_prueba_Maxwell;.SPF
Adige LC5 Fiber CP3015 6kW;34;pstadi02.exe;pstadi02.se8;Pieza_prueba_Maxwell_2;.SPF
Adige LC5 Fiber CP3015 6kW;35;pstadi02.exe;pstadi02.se8;DXFPART7;.SPF
Adige LC5 Fiber CP3015 6kW;36;pstadi02.exe;pstadi02.se8;DXFPUNC0;.SPF
Adige LC5 Fiber CP3015 6kW;37;pstadi02.exe;pstadi02.se8;DXFPAR0105;.SPF
Adige LT9 CO2 CP3015;38;pstadi02.exe;pstadi02.se6;Pieza_prueba_Maxwell;.SPF
Adige LT9 CO2 CP3015;39;pstadi02.exe;pstadi02.se6;Pieza_prueba_Maxwell_2;.SPF
Adige LT9 CO2 CP3015;40;pstadi02.exe;pstadi02.se6;DXFPUNC0;.SPF
Adige LT9 CO2 CP3015;41;pstadi02.exe;pstadi02.se6;DXFPART7;.SPF
Adige LT9 CO2 CP3015;42;pstadi02.exe;pstadi02.se6;DXFPAR0105;.SPF
